iter	Accuracy	Logloss
179	0.8695	0.3332079468
180	0.8695	0.3330435181
181	0.869625	0.3328222961
182	0.869625	0.3326947327
183	0.86975	0.3325294189
184	0.869625	0.3324033203
185	0.869625	0.3320945129
186	0.869625	0.3317280273
187	0.8695	0.3315190125
188	0.8695	0.331332428
189	0.869625	0.3310686035
190	0.8695	0.3306721497
191	0.86975	0.3304685364
192	0.869875	0.3301134949
193	0.869875	0.3297728577
194	0.870125	0.3296868896
195	0.87025	0.3295462952
196	0.870125	0.3294632874
197	0.87025	0.3292088623
198	0.87025	0.3289198608
199	0.870125	0.3288237915
200	0.87025	0.3287130737
201	0.87025	0.3286506348
202	0.87025	0.3282323914
203	0.870125	0.3279655457
204	0.870125	0.3277954407
205	0.870125	0.327584259
206	0.870125	0.3272880859
207	0.870125	0.3271072083
208	0.87025	0.3269423523
209	0.87025	0.3267290649
210	0.87025	0.3264926758
211	0.870625	0.3263324585
212	0.870625	0.3261707764
213	0.87075	0.3260247803
214	0.87075	0.325912384
215	0.870875	0.32574823
216	0.87075	0.325573822
217	0.870625	0.325391571
218	0.870875	0.3252444763
219	0.87075	0.3251589966
220	0.87075	0.3251200867
221	0.87075	0.3250302124
222	0.870875	0.3248080444
223	0.871	0.3247259521
224	0.87075	0.3246352539
225	0.87075	0.3245141296
226	0.87075	0.3243401489
227	0.870875	0.324215271
228	0.871125	0.3241453247
229	0.87125	0.3239927063
230	0.87125	0.3238557129
231	0.87125	0.323786377
232	0.87125	0.3237143555
233	0.871	0.3236394348
234	0.871125	0.323598999
235	0.87125	0.3232724915
236	0.87125	0.3232125244
237	0.871125	0.3231467896
238	0.87125	0.3229404297
239	0.8715	0.3227744141
240	0.87125	0.3227028503
241	0.8715	0.3226330261
242	0.871375	0.3225554199
243	0.871375	0.3223785706
244	0.87175	0.3222268372
245	0.8715	0.3220253296
246	0.8715	0.3219733887
247	0.871375	0.3218047485
248	0.871375	0.321760437
249	0.87125	0.321699707
250	0.871375	0.3216237793
251	0.871375	0.321543457
252	0.871625	0.3214582214
253	0.871625	0.3214202271
254	0.871625	0.3213465271
255	0.871625	0.3212745667
256	0.8715	0.321216095
257	0.8715	0.3211290588
258	0.871625	0.3208855286
259	0.871625	0.320692749
260	0.871625	0.3206441956
261	0.87175	0.3205887451
262	0.871625	0.3203470764
263	0.87175	0.3201291809
264	0.87175	0.319928772
265	0.87175	0.3198312683
266	0.871625	0.319730957
267	0.871875	0.3194619141
268	0.871875	0.3192749023
269	0.871875	0.3192036133
270	0.871875	0.3191486816
271	0.871875	0.3190794067
272	0.872	0.3190229492
273	0.87175	0.3189589539
274	0.87175	0.3188835754
275	0.87175	0.3188582764
276	0.872125	0.318711731
277	0.872125	0.3186682739
278	0.87225	0.3185215759
279	0.872125	0.3184398804
280	0.871875	0.3182750854
281	0.87175	0.3182513428
282	0.871625	0.3181524048
283	0.871625	0.3180188599
284	0.87175	0.3179724426
285	0.871875	0.3178927612
286	0.87225	0.3177646179
287	0.872	0.317600647
288	0.87225	0.3175406494
289	0.87225	0.3174379883
290	0.872125	0.3174171143
291	0.8725	0.3171495361
292	0.8725	0.3171052246
293	0.872375	0.3169798584
294	0.872375	0.3169364929
295	0.872375	0.3168598328
296	0.872625	0.3167735901
297	0.872375	0.3167252502
298	0.872375	0.3166011658
299	0.872375	0.3165553894
300	0.872375	0.3164223633
301	0.872375	0.3163657837
302	0.872375	0.316347229
303	0.872375	0.3163200989
304	0.872375	0.3162877197
305	0.87225	0.316068634
306	0.872375	0.316032135
307	0.872375	0.3160033569
308	0.872375	0.3158394775
309	0.8725	0.3158066406
310	0.8725	0.3157257996
311	0.8725	0.3156730957
312	0.8725	0.315592926
313	0.87275	0.3155623779
314	0.87275	0.3155463257
315	0.87275	0.3154946594
316	0.87275	0.3154491577
317	0.87275	0.3154338379
318	0.872875	0.3152687378
319	0.87275	0.3152479248
320	0.872875	0.3152307129
321	0.872875	0.3151730652
322	0.872875	0.3151526184
323	0.872875	0.3151206055
324	0.873	0.3150171814
325	0.873	0.3148599243
326	0.873	0.314844635
327	0.873125	0.314745636
328	0.873125	0.3147306519
329	0.872875	0.3147235107
330	0.873125	0.3146990051
331	0.873	0.3146455078
332	0.873125	0.3145965271
333	0.87325	0.31456073
334	0.873125	0.314530426
335	0.87325	0.3143685303
336	0.87325	0.3142218018
337	0.873125	0.3140609741
338	0.8735	0.313920166
339	0.873625	0.3137829285
340	0.8735	0.3137704163
341	0.8735	0.3137375488
342	0.8735	0.3137035828
343	0.8735	0.3136891479
344	0.8735	0.3136607971
345	0.87375	0.3136369324
346	0.8735	0.3135090027
347	0.873375	0.3134022522
348	0.873375	0.3133905334
349	0.873375	0.3133590698
350	0.873375	0.3133144531
351	0.873375	0.3132379456
352	0.873375	0.3131196899
353	0.873375	0.3130830383
354	0.873375	0.312976532
355	0.8735	0.3128236084
356	0.8735	0.3128035278
357	0.8735	0.3126925659
358	0.873375	0.3126096191
359	0.873375	0.3125297241
360	0.873375	0.3124647522
361	0.873625	0.3124209595
362	0.873625	0.3123226013
363	0.87375	0.3123040161
364	0.87375	0.312270752
365	0.873875	0.3121833801
366	0.873875	0.3121779175
367	0.87375	0.3121142273
368	0.873625	0.3120959778
369	0.873625	0.3120843201
370	0.873625	0.3120600586
371	0.873625	0.3120521851
372	0.873625	0.3120375977
373	0.873625	0.3120033875
374	0.873625	0.3119507751
375	0.873625	0.3119454651
376	0.873875	0.311862915
377	0.873625	0.3117581177
378	0.8735	0.3116681824
379	0.8735	0.3115678406
380	0.8735	0.3115435486
381	0.873375	0.3115220337
382	0.8735	0.3115093384
383	0.873375	0.311436676
384	0.8735	0.3113640137
385	0.873625	0.3113126831
386	0.873625	0.3113067322
387	0.87375	0.3112756958
388	0.873625	0.3112490234
389	0.873625	0.3112335815
390	0.873625	0.3111357422
391	0.87375	0.3111053162
392	0.873875	0.3110813599
393	0.874125	0.31105896
394	0.874125	0.3109620972
395	0.874125	0.3109145508
396	0.874125	0.3108209534
397	0.874125	0.3107995605
398	0.874125	0.3107780151
399	0.874125	0.3106935425
400	0.874125	0.3106796875
401	0.874125	0.3106535034
402	0.874	0.3106300659
403	0.874125	0.3106140747
404	0.874	0.3104065857
405	0.874	0.3103797913
406	0.874	0.3103731689
407	0.874	0.3103504944
408	0.874	0.3103262939
409	0.874125	0.3103109436
410	0.874125	0.3102157898
411	0.874125	0.3101528015
412	0.87425	0.3101342163
413	0.87425	0.3101057129
414	0.87425	0.3101044312
415	0.87425	0.3100863647
416	0.87425	0.3100832825
417	0.874375	0.3099230957
418	0.874375	0.3099129944
419	0.874375	0.3098685913
420	0.874375	0.3098662415
421	0.87425	0.3098406677
422	0.87425	0.3098169861
423	0.87425	0.3098033142
424	0.874125	0.3097810669
425	0.87425	0.3097528076
426	0.874375	0.309675293
427	0.874375	0.3096442871
428	0.8745	0.3095107422
429	0.8745	0.3094872437
430	0.874375	0.3094803162
431	0.874375	0.3094542847
432	0.874375	0.309428009
433	0.8745	0.3093971863
434	0.8745	0.3093671875
435	0.8745	0.309352478
436	0.8745	0.3091253662
437	0.8745	0.3091116943
438	0.874375	0.3090829468
439	0.874375	0.3090736389
440	0.874375	0.3090533142
441	0.874375	0.3090391235
442	0.874375	0.308949646
443	0.87475	0.3088154297
444	0.87475	0.3087609253
445	0.874625	0.30870755
446	0.87475	0.3086068115
447	0.874875	0.3085812988
448	0.87475	0.308532074
449	0.874875	0.3084269104
450	0.87475	0.308423645
451	0.87475	0.3083908691
452	0.87475	0.3082606812
453	0.87475	0.3082597046
454	0.87475	0.3082207947
455	0.87475	0.3081675415
456	0.87475	0.308150238
457	0.874875	0.3081081238
458	0.874875	0.3080993958
459	0.874875	0.3080612183
460	0.874875	0.3079949646
461	0.87475	0.3079798279
